Word, AbstConc, Arou, IMG, Val
sein, 3.731, 4.41, 4.347, 6.768
in, 3.883, 3.586, 5.41, 6.192
ein, 4.281, 3.738, 5.014, 7.786
werden, 3.704, 4.433, 4.637, 6.431
von, 4.281, 3.552, 5.176, 5.803
haben, 3.619, 4.341, 4.565, 6.9
mit, 4.941, 3.744, 5.901, 6.919
für, 3.274, 3.748, 4.215, 6.896
auch, 3.096, 3.736, 3.868, 8.203
auf, 4.417, 3.628, 4.927, 5.804
können, 2.285, 4.803, 3.129, 7.106
bei, 4.009, 2.83, 3.951, 6.356
als, 3.394, 4.575, 4.061, 5.969
so, 2.755, 3.618, 3.919, 6.885
aus, 4.614, 3.019, 5.178, 5.276
noch, 3.232, 4.062, 3.702, 6.399
nach, 4.363, 4.327, 5.384, 5.14
nur, 2.796, 3.442, 3.363, 5.406
um, 3.847, 3.83, 4.8, 5.825
gut, 3.082, 5.403, 4.043, 7.052
dann, 3.733, 4.217, 6.033, 6.315
über, 4.708, 3.636, 4.795, 5.386
da, 3.266, 3.318, 3.889, 6.241
geben, 3.294, 4.025, 3.898, 6.218
schon, 3.734, 4.143, 4.087, 6.629
sollen, 3.156, 4.459, 3.291, 6.467
durch, 4.087, 3.68, 5.394, 5.516
mehr, 3.263, 5.28, 3.675, 5.15
vor, 4.492, 4.695, 5.671, 4.627
machen, 3.579, 4.322, 3.846, 6.114
Jahr, 4.273, 3.887, 4.215, 6.442
hier, 3.485, 3.049, 3.963, 6.771
mal, 4.337, 3.318, 5.163, 6.331
neu, 3.28, 4.692, 4.106, 6.367
kommen, 3.591, 5.419, 4.733, 5.143
ja, 2.936, 4.503, 3.427, 6.245
gehen, 4.369, 4.408, 5.414, 5.881
wieder, 4.237, 3.946, 4.931, 6.801
immer, 3.389, 4.576, 4.242, 6.259
bis, 4.188, 3.061, 4.796, 5.812
sehr, 3.44, 3.47, 3.218, 7.442
doch, 2.642, 4.299, 4.042, 6.644
wollen, 2.516, 5.877, 4.095, 6.21
ganz, 3.168, 4.102, 4.514, 7.204
finden, 3.557, 4.957, 4.641, 5.363
sehen, 4.431, 4.813, 6.292, 5.967
gross, 3.755, 4.462, 4.904, 6.411
jetzt, 3.97, 3.949, 4.569, 6.576
unter, 4.409, 4.403, 5.657, 5.237
sagen, 3.518, 4.397, 4.808, 5.988
stehen, 4.328, 3.825, 6.109, 5.503
also, 3.11, 3.291, 3.602, 6.513
einfach, 3.201, 3.831, 4.307, 5.809
müssen, 2.423, 4.872, 3.31, 4.382
Zeit, 2.786, 3.682, 3.629, 7.466
nun, 3.384, 3.44, 4.627, 6.929
weit, 4.042, 4.024, 4.37, 5.454
lassen, 2.921, 3.947, 3.958, 5.801
Mensch, 5.458, 4.581, 6.069, 6.565
ohne, 2.553, 4.319, 2.494, 4.981
gegen, 4.078, 4.614, 4.948, 4.263
Tag, 4.586, 3.791, 5.602, 6.823
ab, 4.755, 2.935, 5.328, 5.962
klein, 4.701, 3.379, 5.517, 6.762
selbst, 2.283, 4.643, 3.859, 6.318
heute, 4.068, 3.603, 4.419, 6.877
liegen, 4.211, 3.251, 5.2, 4.786
seit, 4.433, 4.322, 3.559, 5.814
Kind, 7.109, 4.364, 7.906, 7.173
Seite, 5.028, 4.05, 5.985, 5.658
stellen, 3.523, 4.513, 4.509, 5.49
Frage, 2.865, 5.044, 2.785, 4.581
hoch, 3.872, 4.692, 4.388, 5.611
nehmen, 4.101, 3.647, 5.022, 4.806
deutsch, 3.404, 3.938, 3.856, 5.214
alt, 3.904, 4.068, 4.145, 5.001
bleiben, 3.237, 3.676, 3.551, 5.148
natürlich, 2.962, 4.325, 3.701, 7.641
letzter, 2.988, 3.114, 3.051, 5.867
wirklich, 2.729, 5.004, 3.105, 6.954
erst, 3.667, 4.725, 4.274, 6.392
denken, 3.113, 5.006, 4.167, 6.236
eigen, 2.878, 5.215, 3.356, 5.797
zwischen, 3.905, 4.429, 4.712, 5.095
dürfen, 3.278, 4.255, 3.901, 6.359
schön, 3.178, 5.453, 5.624, 8.921
richtig, 2.709, 5.01, 3.673, 6.91
bekommen, 3.613, 4.825, 4.557, 5.702
gleich, 3.959, 3.644, 4.753, 5.846
bereits, 4.271, 3.785, 3.929, 6.579
Thema, 3.244, 4.116, 3.856, 5.68
wohl, 2.379, 3.885, 3.206, 5.896
zeigen, 3.994, 4.348, 4.252, 5.563
tun, 1.841, 5.134, 3.934, 5.059
weiter, 4.195, 4.071, 4.75, 4.93
eigentlich, 3.166, 4.438, 3.229, 5.641
schreiben, 4.759, 4.04, 4.871, 6.382
Deutschland, 4.17, 5.085, 4.114, 6.802
lang, 4.23, 4.24, 4.319, 4.727
wichtig, 2.827, 5.24, 3.155, 6.571
bringen, 2.992, 4.176, 4.03, 6.027
einmal, 4.162, 3.42, 5.421, 6.696
schnell, 3.332, 4.36, 3.845, 5.649
halten, 4.439, 3.804, 4.546, 5.629
gerade, 3.558, 4.017, 4.355, 6.705
Frau, 6.447, 5.096, 7.528, 6.215
vielleicht, 2.947, 4.085, 4.031, 6.227
Bild, 5.132, 4.323, 6.356, 6.216
Problem, 2.697, 5.68, 3.05, 3.014
Fall, 3.704, 5.077, 2.816, 4.749
Uhr, 6.241, 3.854, 5.402, 5.278
genau, 3.169, 4.255, 3.48, 5.036
Leben, 3.679, 6.041, 5.573, 7.256
führen, 3.626, 5.023, 4.713, 4.399
bieten, 2.446, 3.961, 3.399, 6.054
kurz, 4.095, 3.499, 4.991, 5.606
möglich, 2.55, 4.115, 2.466, 5.946
Teil, 4.292, 3.132, 5.669, 6.22
spielen, 5.238, 4.719, 5.751, 5.96
allerdings, 2.829, 2.749, 2.51, 5.563
jedoch, 2.773, 3.35, 2.541, 5.718
Spiel, 4.878, 5.16, 6.09, 6.186
Forum, 5.145, 3.766, 4.609, 5.673
erhalten, 3.665, 3.77, 3.33, 6.416
gar, 2.335, 4.593, 2.941, 3.923
Ende, 3.509, 5.053, 4.225, 4.776
zwar, 2.608, 3.699, 2.453, 6.677
sicher, 2.93, 5.35, 3, 7.239
Hallo, 4.142, 4.557, 3.96, 6.25
Arbeit, 4.038, 4.684, 5.449, 6.151
leider, 2.659, 3.854, 3.565, 4.472
Land, 5.343, 3.602, 5.705, 6.161
Woche, 4.457, 3.42, 4.61, 5.749
gehören, 3.434, 3.824, 4.03, 5.429
Euro, 4.976, 4.336, 4.399, 5.228
Stadt, 5.733, 3.797, 6.27, 5.597
während, 4.549, 3.165, 4.924, 5.697
Welt, 3.634, 5.351, 5.605, 7.499
brauchen, 2.819, 4.284, 3.176, 5.589
fast, 5.101, 3.499, 4.164, 4.776
setzen, 3.842, 3.203, 4.152, 5.905
n, 4.546, 4.465, 4.945, 5.569
verschieden, 3.875, 3.072, 4.399, 6.292
stark, 2.932, 5.677, 3.697, 5.313
Haus, 6.461, 3.635, 7.317, 7.018
Mann, 6.827, 5.038, 7.439, 5.676
Weg, 4.139, 3.754, 5.911, 6.661
